state,value
Alabama,21.28670095
Alaska,28.13845124
Arizona,24.47104539
Arkansas,21.33258964
California,29.0012537
Colorado,26.55084759
Connecticut,28.61560677
Delaware,24.49433213
District of Columbia,32.63837681
Florida,22.82216316
Georgia,22.54023719
Hawaii,26.76701627
Idaho,22.87359968
Illinois,26.09242123
Indiana,22.84604396
Iowa,22.97458273
Kansas,23.04985539
Kentucky,21.22151639
Louisiana,22.31650771
Maine,23.5730742
Maryland,28.55754153
Massachusetts,30.41046791
Michigan,23.04613264
Minnesota,25.28635403
Mississippi,20.06643907
Missouri,23.24788984
Montana,23.3664898
Nebraska,23.02651129
Nevada,25.145625
New Hampshire,27.05054252
New Jersey,30.08500381
New Mexico,23.63380875
New York,29.63245536
North Carolina,23.18054808
North Dakota,24.42920271
Ohio,23.8935545
Oklahoma,22.75259318
Oregon,25.29822581
Pennsylvania,25.03376166
Rhode Island,28.68446429
South Carolina,23.01154738
South Dakota,21.30186371
Tennessee,21.47321157
Texas,24.47857994
Utah,23.54682353
Vermont,24.82275229
Virginia,24.71303741
Washington,28.03636095
West Virginia,22.59102448
Wisconsin,23.35669757
Wyoming,24.2948524